,ticker,cik
0,aapl,320193
1,msft,789019
2,amzn,1018724
3,goog,1652044
4,fb,1326801
5,tcehy,1293451
6,baba,1577552
7,tsla,1318605
8,brk-a,1067983
9,tsm,1046179
10,jpm,19617
11,v,1403161
12,jnj,200406
13,wmt,104169
14,spy,884394
15,ma,1141391
16,dis,1744489
17,unh,731766
18,lvmuy,824046
19,bac,70858
20,nvda,1045810
21,pg,80424
22,hd,354950
23,pypl,1633917
24,idcby,1445468
25,intc,50863
26,cmcsa,1166691
27,asml,937966
28,xom,34088
29,vz,732712
30,nflx,1065280
31,ul,217410
32,tm,1094517
33,ko,21344
34,nke,320187
35,adbe,796343
36,t,732717
37,abt,1800
38,csco,858877
39,cichy,1445474
40,cihky,1495688
41,cvx,93410
42,orcl,1341439
43,pfe,78003
44,mrk,310158
45,nvs,1114448
46,crm,1108524
47,avgo,1730168
48,orcl,1341439
49,pep,77476
50,abbv,1551152
51,lly,59478
52,acgby,1501437
53,bhp,811809
54,tmo,97745
55,pdd,1737806
56,mcd,63908
57,acn,1467373
58,nvo,353278
59,wfc,72971
60,sftby,1065521
61,txn,97476
62,rds-a,1306965
63,mdt,1613103
64,dhr,313616
65,ms,895421
66,tmus,1283699
67,c,831001
68,qcom,804328
69,hon,773840
70,ba,12927
71,sap,1000184
72,cost,909832
73,bbl,1171264
74,amgn,318154
75,unp,100885
76,lin,1707925
77,bmy,14272
78,pm,1413329
79,nee,753308
80,ups,1090727
81,shop,1594805
82,chtr,1091667
83,rtntf,887028
84,bachy,1378999
85,ry,1000275
86,sne,313838
87,low,60667
88,jd,1549802
89,azn,901832
90,tot,879764
91,bud,1668717
92,sbux,829224
93,sny,1121404
94,schw,316709
95,qqq,1067839
96,cat,18230
97,rio,863064
98,hsbc,1089113
99,td,947263
100,rtx,101829
101,abnb,1559720
102,hesay,1436949
103,gs,886982
104,de,315189
105,ge,40545
106,ibm,51143
107,lfc,1268896
108,ptr,1108329
109,hdb,1144967
110,axp,4962
111,se,1703399
112,blk,1364742
113,chdry,1450488
114,chl,1117795
115,mmm,66740
116,uber,1543151
117,amat,6951
118,intu,896878
119,el,1001250
120,sq,1512673
121,mu,723125
122,lmt,936468
123,amt,1053507
124,deo,835403
125,zm,1585521
126,cvs,64803
127,amd,2488
128,dmlry,1067318
129,mo,764180
130,bkng,1075531
131,tgt,27419
132,now,1373715
133,eadsy,1378580
134,gsk,1131399
135,bti,1303523
136,vale,917851
137,ppruy,1445465
138,fis,1136893
